"userId","roomId","studyId","gMO","discussionId","reciept","curr","message","round"
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",146,"2-0","l","2014-07-24 12:36:28","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""11-4""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":146}",1
"user@i1hYpFrzIW","T79MYOvpUx","zzS3x7G14l",147,"2-0","l","2014-07-24 12:36:30","{""type"":""comment"",""userId"":""user@i1hYpFrzIW"",""comment"":{""userId"":""user@i1hYpFrzIW"",""text"":""Highlighting every sentence takes away from the point of this...""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user C"",""userColor"":""#FF3300"",""current-population"":4,""gMO"":147}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",148,"2-0","l","2014-07-24 12:36:30","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""11-5""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":148}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",149,"2-0","l","2014-07-24 12:36:31","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""10-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":149}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",150,"2-0","l","2014-07-24 12:36:32","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""10-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":150}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",151,"2-0","l","2014-07-24 12:36:33","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""10-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":151}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",152,"2-0","l","2014-07-24 12:36:34","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""11-0""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":152}",1
"user@X5EawpwGyY","T79MYOvpUx","zzS3x7G14l",153,"2-0","l","2014-07-24 12:36:35","{""type"":""link"",""userId"":""user@X5EawpwGyY"",""comment"":{""userId"":""user@X5EawpwGyY"",""text"":""11-6""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user A"",""userColor"":""#33CC33"",""current-population"":4,""gMO"":153}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",154,"2-0","l","2014-07-24 12:36:35","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""11-1""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":154}",1
"user@zWAVh7LBNa","T79MYOvpUx","zzS3x7G14l",155,"2-0","l","2014-07-24 12:36:36","{""type"":""link"",""userId"":""user@zWAVh7LBNa"",""comment"":{""userId"":""user@zWAVh7LBNa"",""text"":""11-2""},""location"":""2-0"",""element"":"".conversation"",""database"":""persistent"",""userMask"":""user B"",""userColor"":""#6699FF"",""current-population"":4,""gMO"":155}",1
